City,Country,Max Temp (F),Humidity,Cloudiness,Wind Speed,Lat,Lng,Date
mataura,NZ,39.002,83,35,1.34,-46.19,168.86,1592940508
vostok,RU,52.556,100,100,2.01,46.49,135.88,1592940106
ovsyanka,RU,55.4,100,0,1.0,55.96,92.55,1592940508
new norfolk,AU,50.324,90,100,1.13,-42.78,147.06,1592940508
aguililla,MX,84.56,58,88,0.83,18.73,-102.73,1592940508
port-de-bouc,FR,76.352,64,0,2.1,43.4,4.98,1592940508
necochea,AR,55.004,91,100,1.79,-38.55,-58.74,1592940508
torbay,CA,79.268,65,20,9.8,47.67,-52.73,1592940508
muros,ES,75.992,68,0,5.36,42.78,-9.06,1592940508
lompoc,US,68.648,64,100,4.6,34.64,-120.46,1592940508
knysna,ZA,55.4,100,90,2.1,-34.04,23.05,1592940508
isangel,VU,75.2,94,75,2.6,-19.55,169.27,1592940463
hohhot,CN,62.6,59,0,2.0,40.81,111.65,1592940509
batangafo,CF,75.92,83,79,1.13,7.3,18.28,1592940509
albany,US,90.35600000000001,44,11,1.34,42.6,-73.97,1592940490
ribeira grande,PT,66.2,63,40,8.2,38.52,-28.7,1592940034
hilo,US,70.862,83,90,1.92,19.73,-155.09,1592940509
erzin,TR,73.994,83,52,3.13,36.96,36.2,1592940509
busselton,AU,50.684,73,11,5.91,-33.65,115.33,1592940509
victoria,HK,84.72200000000001,74,100,5.36,22.29,114.16,1592940290
rikitea,PF,69.8,50,99,3.62,-23.12,-134.97,1592940509
upernavik,GL,35.492,86,71,4.99,72.79,-56.15,1592940509
saint george,US,96.8,11,1,2.6,37.1,-113.58,1592940423
sheridan,US,82.13,26,1,1.5,44.83,-106.92,1592940509
nikolskoye,RU,68.576,52,0,3.0,59.7,30.79,1592939989
hermanus,ZA,50.0,93,4,1.92,-34.42,19.23,1592940510
tuatapere,NZ,39.002,83,8,1.34,-46.13,167.68,1592940006
amuntai,ID,72.086,97,39,0.38,-2.42,115.25,1592940510
dikson,RU,37.562,83,58,5.76,73.51,80.55,1592940162
kavieng,PG,82.85,78,53,4.51,-2.57,150.8,1592939971
waynesville,US,67.19,82,84,1.34,35.49,-82.99,1592940510
husavik,IS,57.2,58,75,6.7,66.04,-17.34,1592940510
